,Time,latitude,longitude,Depth,Total Log,Heading,STW,COG,SOG,TWD,TWA,TWS,AWA,AWS,AWS (max),Water Temperature,date,speed_delta,distance,log_entry,data,havens,vertrekhaven,tussenstop,aankomsthaven
131,2025-04-27 12:27:00,52.7191583,5.31197,3.94,,3.4,2.2,1.7,2.3,64.4,61.0,2.1,28.5,3.8,,,2025-04-27,0.9000000000000004,0.19525029951457926,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
132,2025-04-27 12:32:00,52.7231466,5.3119566,4.77,,2.8,2.6,0.1,3.2,83.0,80.2,1.2,20.0,3.6,,,2025-04-27,-0.10000000000000009,0.23966416812125182,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
133,2025-04-27 12:37:00,52.727285,5.3118866,4.77,,3.5,2.6,358.8,3.1,53.9,50.4,1.6,16.5,4.3,,,2025-04-27,-0.30000000000000027,0.2486964825263996,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
134,2025-04-27 12:42:00,52.7314216,5.31185,4.8,,4.0,2.4,359.1,2.8,65.8,61.8,1.1,17.0,3.5,,,2025-04-27,-0.5999999999999996,0.24857883706998707,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
135,2025-04-27 12:47:00,52.7352666,5.3117933,4.96,,4.1,2.1,358.8,2.2,4.1,0.0,1.8,0.0,4.1,,,2025-04-27,-0.10000000000000009,0.23106174430454718,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
136,2025-04-27 12:52:00,52.73855,5.3116816,4.97,,4.5,1.8,358.1,2.1,36.8,32.3,1.7,14.5,3.6,,,2025-04-27,0.0,0.19734689413086384,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
137,2025-04-27 12:57:00,52.7412,5.3114916,5.17,,7.0,1.8,1.3,2.1,19.3,12.3,1.9,6.0,4.0,,,2025-04-27,-0.30000000000000004,0.1593929284206983,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
138,2025-04-27 13:02:00,52.7436816,5.3113,5.19,,3.1,1.3,357.1,1.8,5.0,1.9,1.9,1.0,3.7,,,2025-04-27,0.30000000000000004,0.14928634168839436,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
139,2025-04-27 13:07:00,52.7462783,5.311205,5.42,,4.3,1.7,358.5,2.1,10.5,6.2,1.9,3.0,4.0,,,2025-04-27,-0.20000000000000018,0.1560783453282263,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
140,2025-04-27 13:12:00,52.7490066,5.3111483,5.51,,3.6,1.4,359.5,1.9,357.7,-5.9,1.9,-3.0,3.8,,,2025-04-27,-0.3999999999999999,0.1639611197302319,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
141,2025-04-27 13:17:00,52.751345,5.3110383,5.78,,4.6,1.3,0.0,1.5,357.2,-7.4,2.3,-4.5,3.8,,,2025-04-27,-0.30000000000000004,0.14057534868124152,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
142,2025-04-27 13:22:00,52.7531616,5.31093,5.7,,9.6,1.0,7.7,1.2,5.8,-3.8,2.3,-2.5,3.5,,,2025-04-27,-0.19999999999999996,0.10923360123141625,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
143,2025-04-27 13:27:00,52.7548916,5.31087,5.78,,4.6,0.0,358.9,1.0,352.2,-12.4,2.0,-8.5,3.0,,,2025-04-27,0.3999999999999999,0.10398151755599672,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
144,2025-04-27 13:32:00,52.75611,5.3104783,5.71,,349.6,0.7,341.5,1.4,345.9,-3.7,1.5,-2.0,2.9,,,2025-04-27,-0.09999999999999987,0.07458871355774785,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
145,2025-04-27 13:37:00,52.7577116,5.309545,5.77,,349.5,0.9,338.8,1.3,341.8,-7.7,1.4,-4.0,2.7,,,2025-04-27,4.2,0.10205254347566521,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
146,2025-04-27 13:42:00,52.761985,5.309945,5.82,,2.6,4.7,4.4,5.5,270.6,-92.0,3.2,-30.5,6.3,,,2025-04-27,0.0,0.2572074531548792,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
147,2025-04-27 13:47:00,52.769685,5.3110816,5.96,,3.1,4.7,5.2,5.5,259.7,-103.4,4.1,-41.5,6.1,,,2025-04-27,0.2999999999999998,0.4645478677558576,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
148,2025-04-27 13:52:00,52.7773516,5.3123133,6.28,,3.8,4.7,5.4,5.8,262.7,-101.1,3.3,-32.0,6.1,,,2025-04-27,-0.2999999999999998,0.4628697874636099,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
149,2025-04-27 13:57:00,52.7849983,5.3137133,6.06,,3.0,4.7,6.0,5.5,259.0,-104.0,3.3,-34.5,5.7,,,2025-04-27,0.0,0.4623120971685684,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
150,2025-04-27 14:02:00,52.79266,5.31492,5.83,,2.7,4.7,4.6,5.5,270.8,-91.9,3.0,-29.5,6.2,,,2025-04-27,0.09999999999999964,0.4624881674459248,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
151,2025-04-27 14:07:00,52.8003216,5.3161483,5.15,,2.7,4.7,7.1,5.6,251.3,-111.4,2.8,-30.0,5.3,,,2025-04-27,0.10000000000000053,0.4625565163373827,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
152,2025-04-27 14:12:00,52.8079583,5.3176066,5.75,,3.1,4.7,6.2,5.7,210.6,-152.5,2.3,-16.0,3.8,,,2025-04-27,-0.20000000000000018,0.4619499689370394,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
153,2025-04-27 14:17:00,52.8156033,5.3190083,4.72,,3.4,4.5,6.7,5.5,218.2,-145.2,2.3,-20.5,3.8,,,2025-04-27,0.0,0.4622134200840129,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
154,2025-04-27 14:22:00,52.8233133,5.3202083,4.41,,2.7,4.7,4.6,5.5,217.1,-145.6,2.8,-26.0,3.6,,,2025-04-27,0.0,0.4653518439439146,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
155,2025-04-27 14:27:00,52.8309283,5.3213933,4.44,,3.5,4.5,5.7,5.5,258.7,-104.8,7.0,-61.0,7.7,,,2025-04-27,0.0,0.45961649855963965,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
156,2025-04-27 14:32:00,52.8384466,5.3224933,5.89,,4.2,4.4,3.9,5.5,249.3,-114.9,6.9,-68.0,6.8,,,2025-04-27,-0.09999999999999964,0.45354867592528825,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
157,2025-04-27 14:37:00,52.8458466,5.3235683,6.15,,2.7,4.7,8.1,5.4,261.2,-101.5,5.8,-53.5,7.1,,,2025-04-27,-0.10000000000000053,0.4463870313723011,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
158,2025-04-27 14:42:00,52.853315,5.3249716,3.76,,2.9,4.5,3.2,5.3,270.0,-92.9,7.9,-58.0,9.3,,,2025-04-27,-2.3,0.45166886784248633,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
159,2025-04-27 14:47:00,52.85773,5.3256516,4.21,,6.0,2.4,7.4,3.0,270.7,-95.3,6.9,-71.5,7.3,,,2025-04-27,0.2999999999999998,0.2664496755918061,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
160,2025-04-27 14:52:00,52.86199,5.32715,5.04,,10.9,2.6,13.9,3.3,269.5,-101.4,7.1,-74.5,7.2,,,2025-04-27,0.10000000000000009,0.2616994858455102,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
161,2025-04-27 14:57:00,52.8664966,5.329095,4.6,,12.2,2.8,15.6,3.4,262.9,-109.3,6.9,-80.0,6.6,,,2025-04-27,0.20000000000000018,0.27985058016376013,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
162,2025-04-27 15:02:00,52.87131,5.3311666,4.94,,11.8,2.7,15.3,3.6,256.5,-115.3,7.2,-85.0,6.5,,,2025-04-27,-0.20000000000000018,0.2988471105842021,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
163,2025-04-27 15:07:00,52.876005,5.33332,5.43,,11.2,2.8,16.1,3.4,263.1,-108.1,6.5,-77.5,6.3,,,2025-04-27,0.3999999999999999,0.29274177164133075,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
164,2025-04-27 15:12:00,52.88087,5.335545,5.31,,11.5,3.0,15.6,3.8,252.6,-118.9,7.2,-87.5,6.3,,,2025-04-27,0.0,0.3032776362194063,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
165,2025-04-27 15:17:00,52.88584,5.337775,6.04,,11.0,3.1,14.9,3.8,256.5,-114.5,7.8,-85.5,7.1,,,2025-04-27,0.10000000000000009,0.30940933759433764,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
166,2025-04-27 15:22:00,52.8909816,5.3403366,5.11,,10.5,3.1,15.6,3.9,255.8,-114.7,7.4,-83.5,6.8,,,2025-04-27,-0.19999999999999973,0.32262521439073716,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
167,2025-04-27 15:27:00,52.8960683,5.34296,5.34,,10.5,3.1,16.5,3.7,256.4,-114.1,7.7,-85.5,7.1,,,2025-04-27,0.0,0.32012252806017694,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
168,2025-04-27 15:32:00,52.9010583,5.345515,5.12,,11.1,3.0,16.6,3.7,256.8,-114.3,7.4,-85.0,6.8,,,2025-04-27,0.09999999999999964,0.31383480041828554,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
169,2025-04-27 15:37:00,52.9058183,5.3479183,5.08,,11.3,3.2,16.1,3.8,253.1,-118.2,7.3,-87.5,6.5,,,2025-04-27,-0.6999999999999997,0.2990059101471468,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
170,2025-04-27 15:42:00,52.9109133,5.3503366,4.64,,11.2,2.6,17.2,3.1,277.3,-93.9,7.7,-71.5,8.1,,,2025-04-27,0.5,0.3184639376295742,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
171,2025-04-27 15:47:00,52.9154683,5.3525816,4.37,,10.8,3.1,15.7,3.6,281.6,-89.2,8.6,-67.0,9.4,,,2025-04-27,-0.30000000000000027,0.2855510607840202,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
172,2025-04-27 15:52:00,52.9196616,5.355025,4.02,,15.5,2.7,20.0,3.3,287.7,-87.8,9.1,-68.0,9.8,,,2025-04-27,1.2000000000000002,0.2670825097446889,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
173,2025-04-27 15:57:00,52.92406,5.35986,3.93,,31.9,3.6,41.3,4.5,288.5,-103.4,10.8,-79.5,10.7,,,2025-04-27,-0.7999999999999998,0.3170847317806652,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
174,2025-04-27 16:02:00,52.9286116,5.3648183,3.94,,25.1,3.4,28.2,3.7,290.3,-94.8,9.6,-73.0,10.0,,,2025-04-27,0.09999999999999964,0.3272189059986839,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
175,2025-04-27 16:07:00,52.93333,5.3699466,4.08,,28.1,3.2,35.3,3.8,281.6,-106.5,8.4,-80.5,8.2,,,2025-04-27,0.2999999999999998,0.33896686479985777,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
176,2025-04-27 16:12:00,52.937685,5.3755033,4.16,,31.8,3.3,37.1,4.1,287.4,-104.4,9.3,-79.0,9.2,,,2025-04-27,0.10000000000000053,0.3301352494252789,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
177,2025-04-27 16:17:00,52.9422283,5.3813733,4.33,,31.3,3.4,38.6,4.2,283.0,-108.3,10.1,-84.0,9.7,,,2025-04-27,-2.2,0.3460151155675328,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
178,2025-04-27 16:22:00,52.946225,5.3856683,3.87,,296.6,2.0,279.5,2.0,288.0,-8.6,6.1,-6.5,8.1,,,2025-04-27,1.9,0.2861275894551112,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
179,2025-04-27 16:27:00,52.9467516,5.37759,3.82,,303.6,3.4,277.7,3.9,303.6,0.0,5.2,0.0,9.1,,,2025-04-27,-0.5,0.29421295133563496,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
180,2025-04-27 16:32:00,52.9475366,5.3693883,3.7,,303.8,3.1,280.8,3.4,299.2,-4.6,6.1,-3.0,9.5,,,2025-04-27,-0.19999999999999973,0.3006930741819973,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
181,2025-04-27 16:37:00,52.9482783,5.3619233,3.81,,304.5,3.1,279.4,3.2,301.3,-3.2,5.0,-2.0,8.2,,,2025-04-27,0.5,0.273940539951404,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
182,2025-04-27 16:42:00,52.9484783,5.3539083,4.09,,299.7,3.4,269.5,3.7,313.1,13.4,3.9,7.0,7.6,,,2025-04-27,-0.5,0.29045029314425364,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
183,2025-04-27 16:47:00,52.9504016,5.353105,4.07,,32.2,2.9,36.9,3.2,290.2,-102.0,7.6,-77.5,7.6,,,2025-04-27,-0.10000000000000009,0.11917777802360262,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
184,2025-04-27 16:52:00,52.9539166,5.3572616,3.94,,29.9,2.7,32.1,3.1,285.7,-104.2,7.5,-80.0,7.4,,,2025-04-27,0.3999999999999999,0.2593471099340657,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
185,2025-04-27 16:57:00,52.9576133,5.3610783,3.52,,30.0,2.9,30.2,3.5,283.2,-106.8,8.4,-82.5,8.1,,,2025-04-27,0.10000000000000009,0.261605078609588,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
186,2025-04-27 17:02:00,52.9618,5.36523,3.59,,30.3,3.0,31.0,3.6,285.2,-105.1,8.2,-80.0,8.1,,,2025-04-27,-0.6000000000000001,0.2930533626298581,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
187,2025-04-27 17:07:00,52.9656266,5.36897,3.36,,29.9,2.5,30.4,3.0,293.0,-96.9,7.8,-75.0,8.0,,,2025-04-27,-0.10000000000000009,0.2668330169762857,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
188,2025-04-27 17:12:00,52.9690883,5.3723866,2.96,,29.5,2.5,30.2,2.9,294.5,-95.0,7.7,-74.0,8.0,,,2025-04-27,0.3999999999999999,0.241995417527685,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
189,2025-04-27 17:17:00,52.972715,5.3758933,2.95,,29.6,2.8,28.5,3.3,293.8,-95.8,8.4,-73.5,8.7,,,2025-04-27,0.30000000000000027,0.25218957029362155,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
190,2025-04-27 17:22:00,52.976675,5.37968,2.72,,29.1,3.2,30.4,3.6,292.3,-96.8,9.0,-74.5,9.3,,,2025-04-27,-0.20000000000000018,0.2745936360922192,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
191,2025-04-27 17:27:00,52.9778333,5.3734516,2.57,,312.2,3.4,288.0,3.4,306.0,-6.2,6.0,-4.0,9.4,,,2025-04-27,1.0000000000000004,0.2358669665751908,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
192,2025-04-27 17:32:00,52.97926,5.364825,3.24,,312.2,4.0,285.3,4.4,308.1,-4.1,6.5,-2.5,10.9,,,2025-04-27,0.0,0.32368816595373817,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
193,2025-04-27 17:37:00,52.980695,5.355215,3.18,,311.7,4.0,280.8,4.4,306.5,-5.2,5.8,-3.0,10.2,,,2025-04-27,-2.2,0.35823141838155886,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
194,2025-04-27 17:42:00,52.9822283,5.3489133,3.28,,309.9,2.0,292.0,2.2,298.3,-11.6,7.2,-9.0,9.4,,,2025-04-27,1.4,0.24590716810423124,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
195,2025-04-27 17:47:00,52.9839316,5.3427016,3.13,,306.8,3.3,295.5,3.6,299.7,-7.1,6.1,-4.5,9.7,,,2025-04-27,-0.3999999999999999,0.24693976257024308,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
196,2025-04-27 17:52:00,52.9858916,5.3354916,3.19,,305.7,2.9,293.5,3.2,305.7,0.0,5.8,0.0,9.0,,,2025-04-27,0.5,0.28619311595027824,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
197,2025-04-27 17:57:00,52.9878,5.327945,5.2,,303.0,3.3,292.2,3.7,300.5,-2.5,5.1,-1.5,8.8,,,2025-04-27,-0.20000000000000018,0.2961076023103279,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
198,2025-04-27 18:02:00,52.9905183,5.3290116,5.1,,33.6,3.0,41.0,3.5,293.2,-100.4,8.5,-77.0,8.6,,,2025-04-27,0.0,0.1678419224174537,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
199,2025-04-27 18:07:00,52.9941683,5.3343566,3.93,,33.8,3.1,43.4,3.5,294.6,-99.2,8.6,-76.0,8.8,,,2025-04-27,-0.10000000000000009,0.292377624387082,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
200,2025-04-27 18:12:00,52.997925,5.3397816,3.53,,33.6,2.9,39.8,3.4,289.6,-104.0,8.1,-79.5,8.0,,,2025-04-27,0.0,0.2990970918574073,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
201,2025-04-27 18:17:00,53.001585,5.3451966,3.55,,34.1,2.8,42.4,3.4,291.6,-102.5,7.9,-78.0,7.9,,,2025-04-27,0.6999999999999997,0.2944841053586811,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
202,2025-04-27 18:22:00,53.0053383,5.3513833,3.9,,33.3,3.4,45.0,4.1,287.0,-106.3,9.6,-81.5,9.3,,,2025-04-27,-0.2999999999999998,0.3176777615280287,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
203,2025-04-27 18:27:00,53.009315,5.3568283,3.72,,24.9,3.2,34.5,3.8,281.0,-103.9,9.4,-80.5,9.3,,,2025-04-27,0.2999999999999998,0.3096235982679038,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
204,2025-04-27 18:32:00,53.0138416,5.3613166,6.99,,26.7,3.6,35.1,4.1,278.6,-108.1,9.8,-83.5,9.4,,,2025-04-27,-0.8999999999999995,0.31673664973244214,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
205,2025-04-27 18:37:00,53.0180616,5.3639016,5.69,,136.1,2.8,14.9,3.2,42.3,-93.8,8.3,-72.5,8.7,,,2025-04-27,1.5,0.2702575661254976,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
206,2025-04-27 18:42:00,53.0235833,5.3622733,3.32,,339.4,4.4,343.4,4.7,257.8,-81.6,8.4,-54.5,10.2,,,2025-04-27,0.09999999999999964,0.33698803671962785,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
207,2025-04-27 18:47:00,53.03003,5.3609216,3.38,,353.5,4.4,358.1,4.8,278.1,-75.4,9.4,-52.0,11.6,,,2025-04-27,0.40000000000000036,0.39046123055643,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
208,2025-04-27 18:52:00,53.0365916,5.3595666,3.29,,348.4,4.5,351.8,5.2,282.6,-65.8,9.7,-44.0,12.8,,,2025-04-27,0.0,0.39732622246075056,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
209,2025-04-27 18:57:00,53.0435766,5.3578333,2.83,,348.1,4.5,351.7,5.2,289.5,-58.6,9.7,-39.0,13.2,,,2025-04-27,0.0,0.4243865170265022,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
210,2025-04-27 19:02:00,53.050585,5.3560333,2.63,,345.8,4.5,349.6,5.2,285.3,-60.5,9.9,-40.5,13.3,,,2025-04-27,0.09999999999999964,0.4261368331535448,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
211,2025-04-27 19:07:00,53.0561033,5.3600133,2.09,,72.7,4.5,73.0,5.3,304.5,-128.2,10.2,-97.0,8.1,,,2025-04-27,0.10000000000000053,0.36142318888833225,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
212,2025-04-27 19:12:00,53.05544,5.37214,4.39,,89.9,4.7,92.3,5.4,308.5,-141.4,11.1,-115.3,7.6,,,2025-04-27,-2.4000000000000004,0.4397941777276491,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
213,2025-04-27 19:17:00,53.05513,5.3829166,3.19,,108.0,2.4,92.8,3.0,330.0,-138.0,7.4,-117.3,5.6,,,2025-04-27,-2.9,0.3896721281619815,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
214,2025-04-28 06:31:00,53.054645,5.3833633,1.96,,174.5,0.0,,0.1,107.0,,,-67.5,0.7,,,2025-04-28,4.7,0.033312225271865135,2025-04-28 - Makkum - Harlingen.md,2025-04-28,- Makkum - Harlingen, Makkum ,, Harlingen
215,2025-04-28 06:36:00,53.0553767,5.3794317,4.26,,244.8,4.2,272.4,4.8,123.6,-121.2,4.4,-63.0,4.2,,,2025-04-28,-0.09999999999999964,0.14865294616294225,2025-04-28 - Makkum - Harlingen.md,2025-04-28,- Makkum - Harlingen, Makkum ,, Harlingen
216,2025-04-28 06:41:00,53.0561817,5.3686317,6.41,,259.7,3.8,284.1,4.7,139.3,-120.4,6.1,-82.0,5.3,,,2025-04-28,0.2999999999999998,0.39305535563660376,2025-04-28 - Makkum - Harlingen.md,2025-04-28,- Makkum - Harlingen, Makkum ,, Harlingen
217,2025-04-28 06:46:00,53.0587917,5.3586,5.02,,286.3,4.0,306.3,5.0,149.2,-137.1,6.0,-95.5,4.1,,,2025-04-28,-0.2999999999999998,0.39479454901516675,2025-04-28 - Makkum - Harlingen.md,2025-04-28,- Makkum - Harlingen, Makkum ,, Harlingen
218,2025-04-28 06:51:00,53.0618383,5.3488217,5.56,,274.4,4.4,294.8,4.7,141.0,-133.4,6.6,-92.0,4.8,,,2025-04-28,0.20000000000000018,0.39776460547346426,2025-04-28 - Makkum - Harlingen.md,2025-04-28,- Makkum - Harlingen, Makkum ,, Harlingen
219,2025-04-28 06:56:00,53.0651317,5.3391783,3.1,,330.1,4.5,338.1,4.9,178.2,-151.9,5.1,-89.0,2.4,,,2025-04-28,-4.9,0.4005397228711431,2025-04-28 - Makkum - Harlingen.md,2025-04-28,- Makkum - Harlingen, Makkum ,, Harlingen
220,2025-04-28 07:01:00,53.0672333,5.3389183,3.03,,1.6,0.0,,0.0,165.1,,,163.5,3.2,,,2025-04-28,2.0,0.12663716552358925,2025-04-28 - Makkum - Harlingen.md,2025-04-28,- Makkum - Harlingen, Makkum ,, Harlingen
